cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
4829,0,746223,2706726,1880 Bank,Cambridge,MD,21613,6/30/2015,8/16/2015,SM,304 High Street,"DELMARVA BANCSHARES, INC.",3,0,0,4,0,Dorchester,,,1/1/1880,1/1/1934,10/31/2014,Stock,0,1,FED,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1,www.1880bank.com,31,192823,25373,23062,36418,2,116178,1488,0,2922,985,0,10945,192823,170609,166257,113745,166257,80.79705134,0,0,0,0,4352,22214,22214,0,10742,26165,-14693,0,5515,0,335,175660,46527,192995.67,193572,126078,193092,8656,1762,0,6894,13062,5056,0,0,25437,22317,1576,25437,0
33785,15377,2713920,3063622,"1919 Investment Counsel & Trust Company,  National Association",Baltimore,MD,21202,6/30/2015,8/16/2015,N,100 Light Street,STIFEL FINANCIAL CORP.,1,0,0,7,0,Baltimore City,12580,"Baltimore-Columbia-Towson, MD",2/16/1993,9/29/1999,10/8/2014,Stock,0,1,OCC,DIF,New York,KANSAS CITY,Baltimore,Richmond,Northeastern,Southeast,0,0,http://www.1919ic.com,99,72358,31070,31070,0,0,0,0,0,1793,0,0,39495,72358,23912,500,500,500,50,0,0,0,0,23412,48446,48446,0,0,75031,-26585,0,0,0,1,31070,0,68231.67,69192.5,33141,45162,0,0,0,0,500,0,0,0,0,24416,0,0,0
57899,0,3317192,4526496,1st Advantage Bank,Saint Peters,MO,63376,6/30/2015,8/16/2015,NM,240 Salt Lick Road,"BANC INVESTORS, LLC",1,0,0,4,0,Saint Charles,41180,"St. Louis, MO-IL",1/31/2005,1/31/2005,9/10/2010,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,http://www.1stadvantagebank.com,17,82084,4139,3201,2716,0,67188,1008,0,1858,5370,0,813,82084,75137,66213,58106,66213,79.17503359,0,0,8838,0,86,6947,6947,0,534,14363,-7950,0,4115,0,134,73105,6215,79548.67,81247.5,76598,78097,0,0,0,0,12926,4016,8838,0,4756,6912,958,4756,0
22039,0,564856,1128415,1st Bank,Broadus,MT,59317,6/30/2015,8/16/2015,SM,201 North Wilbur,"1ST UNITED BANCORPORATION, INC.",1,0,0,2,1,Richland,,,6/9/1975,6/9/1975,9/20/2014,Stock,0,0,FED,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1,www.our1stbank.com,8,47439,20428,18000,0,0,25277,993,0,987,0,0,747,47439,42167,42039,37580,42039,91.42986232,0,0,0,0,128,5272,5272,0,657,3989,626,0,0,0,506,43277,2576,49779.33,48132,26939,48068,0,0,0,0,0,0,0,0,3652,5272,993,3652,0
16419,17301,419255,1055780,1st Bank & Trust,Broken Bow,OK,74728,6/30/2015,8/16/2015,SM,710 South Park Drive,"SOUTHEASTERN BANCSHARES, INC.",4,0,0,8,1,Mccurtain,,,5/6/1946,5/6/1946,3/31/2006,Stock,0,1,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,1,http://www/1stbankandtrust.com,44,128765,6377,557,41607,1444,72441,1031,0,5833,0,0,1063,128765,117979,117692,81479,117692,83.53835698,0,0,0,0,287,10786,10786,0,500,752,9534,0,154,0,724,116049,47373,128088.33,127981.5,78399,129628,0,0,0,0,1787,598,0,0,4339,10511,980,4339,0
30367,5236,148470,0,1st Bank of Sea Isle City,Sea Isle City,NJ,8243,6/30/2015,8/16/2015,SB,4301 Landis Avenue,,3,0,0,5,0,Cape May,36140,"Ocean City, NJ",1/1/1882,11/30/1948,9/19/2014,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,www.1stbankseaisle.com,39,229906,29457,25227,10219,3000,170055,1491,0,5496,1874,0,9805,229906,206356,201851,165369,201851,78.21483951,0,0,0,0,4505,23550,23550,0,100,0,23450,0,3693,0,562,208501,99521,229927.67,228206.5,146333,225315,5789,4482,0,1307,7995,10872,0,0,17852,23550,1491,17852,0
57298,0,3048487,3559844,1st Bank Yuma,Yuma,AZ,85364,6/30/2015,8/16/2015,NM,2799 South 4th Avenue,"WESTERN ARIZONA BANCORP, INC.",4,0,0,4,0,Yuma,49740,"Yuma, AZ",9/4/2001,9/4/2001,8/9/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Phoenix,San Francisco,Western,Western,0,1,http://www.1stbankyuma.com,56,224733,17033,12426,31257,1805,162009,1655,0,3710,0,1820,7099,224733,200873,199629,129235,199629,79.16731365,0,0,0,0,1244,23860,23860,0,5165,9820,8875,0,2575,0,813,207497,84442,221869.33,225656.5,176668,226451,4486,1667,0,2819,8756,6541,0,0,36872,22217,1669,36872,0
32487,8322,941653,1064791,1st Cameron State Bank,Cameron,MO,64429,6/30/2015,8/16/2015,NM,124 South Walnut,"C & M BANCSHARES, INC.",2,0,0,8,0,Clinton,28140,"Kansas City, MO-KS",8/11/1986,8/11/1986,6/29/2009,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.1stcameron.com,14,52429,11303,10140,10177,50,29916,266,0,732,0,0,251,52429,47610,42425,35404,42425,85.81831036,4973,0,0,0,212,4819,4819,0,500,1337,2982,0,0,0,127,50283,11492,52536.33,53399.5,24083,53085,0,0,0,0,8475,387,0,0,2603,4819,266,2603,0
58485,0,3594797,0,1st Capital Bank,Monterey,CA,93940,6/30/2015,8/16/2015,NM,"5 Harris Court, Bldg N, # No",,5,0,0,4,0,Monterey,41500,"Salinas, CA",4/16/2007,4/16/2007,8/11/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,San Francisco,San Francisco,Western,Western,0,1,www.1stcapitalbank.com,70,480666,29759,20820,98672,0,341682,5549,0,1689,0,20,8844,480666,437450,436394,276474,436394,53.05406043,0,0,0,0,1056,43216,43216,0,37857,2059,3300,0,92,92,1074,461174,119349,475326.33,480558,316541,478866,2321,0,0,2321,17797,12756,0,0,66429,42941,3978,66429,0
57657,0,3247598,3602236,"1st Century Bank,  National Association",Los Angeles,CA,90067,6/30/2015,8/16/2015,N,"1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.",1,0,0,4,0,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",3/1/2004,3/1/2004,3/31/2006,Stock,0,0,OCC,DIF,San Francisco,SAN FRANCISCO,Los Angeles (West),San Francisco,Western,Western,0,1,www.1cbank.com,74,661277,62481,54624,75549,0,510741,8323,32,1843,0,0,10631,661277,602137,584431,236855,584431,53.2681409,0,32,15000,0,2674,59140,59140,0,49569,8698,873,0,712,0,1537,640914,129662,621028.67,638948.5,561125,639752,0,0,0,0,49072,3128,15000,0,150169,59083,7034,150169,4116
