cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
4829,0,746223,2706726,1880 Bank,Cambridge,MD,21613,6/30/2015,8/16/2015,SM,304 High Street,"DELMARVA BANCSHARES, INC.",3,0,0,4,0,Dorchester,,,1/1/1880,1/1/1934,10/31/2014,Stock,0,1,FED,DIF,New York,NEW YORK,Baltimore,Richmond,Northeastern,Southeast,0,1,www.1880bank.com,3087,216,2871,0,501,0,209,0,292,2708,1366,342,1000,664,6,0,670,0,670,0,670,-9,0,0,664
33785,15377,2713920,3063622,"1919 Investment Counsel & Trust Company,  National Association",Baltimore,MD,21202,6/30/2015,8/16/2015,N,100 Light Street,STIFEL FINANCIAL CORP.,1,0,0,7,0,Baltimore City,12580,"Baltimore-Columbia-Towson, MD",2/16/1993,9/29/1999,10/8/2014,Stock,0,1,OCC,DIF,New York,KANSAS CITY,Baltimore,Richmond,Northeastern,Southeast,0,0,http://www.1919ic.com,58,0,58,0,27390,4205,0,0,23185,21464,14680,1373,5411,5984,0,2493,3491,0,3491,0,3491,0,0,0,3491
57899,0,3317192,4526496,1st Advantage Bank,Saint Peters,MO,63376,6/30/2015,8/16/2015,NM,240 Salt Lick Road,"BANC INVESTORS, LLC",1,0,0,4,0,Saint Charles,41180,"St. Louis, MO-IL",1/31/2005,1/31/2005,9/10/2010,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,St. Louis,St. louis,Western,West,0,1,http://www.1stadvantagebank.com,1516,155,1361,36,144,0,22,0,122,1344,716,102,526,125,0,0,125,0,125,0,125,-50,0,0,125
22039,0,564856,1128415,1st Bank,Broadus,MT,59317,6/30/2015,8/16/2015,SM,201 North Wilbur,"1ST UNITED BANCORPORATION, INC.",1,0,0,2,1,Richland,,,6/9/1975,6/9/1975,9/20/2014,Stock,0,0,FED,DIF,San Francisco,SAN FRANCISCO,Billings,Minneapolis,Western,West,0,1,www.our1stbank.com,692,28,664,0,534,0,41,0,493,545,348,51,146,653,0,0,653,0,653,0,653,0,96,-28,653
16419,17301,419255,1055780,1st Bank & Trust,Broken Bow,OK,74728,6/30/2015,8/16/2015,SM,710 South Park Drive,"SOUTHEASTERN BANCSHARES, INC.",4,0,0,8,1,Mccurtain,,,5/6/1946,5/6/1946,3/31/2006,Stock,0,1,FED,DIF,Dallas,DALLAS,Tulsa,Kansas City,Southern,West,0,1,http://www/1stbankandtrust.com,2515,84,2431,60,701,0,322,0,379,1537,799,331,407,1535,53,0,1588,0,1588,0,1588,25,5750,0,1535
30367,5236,148470,0,1st Bank of Sea Isle City,Sea Isle City,NJ,8243,6/30/2015,8/16/2015,SB,4301 Landis Avenue,,3,0,0,5,0,Cape May,36140,"Ocean City, NJ",1/1/1882,11/30/1948,9/19/2014,Stock,0,0,FDIC,DIF,New York,NEW YORK,Jamesburg,Philadelphia,Northeastern,Northeast,0,1,www.1stbankseaisle.com,4148,281,3867,261,157,0,97,0,60,3227,1642,304,1281,536,0,165,371,0,371,0,371,0,0,0,371
57298,0,3048487,3559844,1st Bank Yuma,Yuma,AZ,85364,6/30/2015,8/16/2015,NM,2799 South 4th Avenue,"WESTERN ARIZONA BANCORP, INC.",4,0,0,4,0,Yuma,49740,"Yuma, AZ",9/4/2001,9/4/2001,8/9/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,Phoenix,San Francisco,Western,Western,0,1,http://www.1stbankyuma.com,4900,225,4675,88,770,0,318,0,452,4027,2213,515,1299,1330,9,399,940,0,940,0,940,56,0,0,933.7
32487,8322,941653,1064791,1st Cameron State Bank,Cameron,MO,64429,6/30/2015,8/16/2015,NM,124 South Walnut,"C & M BANCSHARES, INC.",2,0,0,8,0,Clinton,28140,"Kansas City, MO-KS",8/11/1986,8/11/1986,6/29/2009,Stock,0,0,FDIC,DIF,Kansas City,KANSAS CITY,Kansas City,Kansas City,Western,West,0,1,www.1stcameron.com,793,65,728,1,90,0,65,0,25,781,373,116,292,36,0,13,23,0,23,0,23,1,0,0,23
58485,0,3594797,0,1st Capital Bank,Monterey,CA,93940,6/30/2015,8/16/2015,NM,"5 Harris Court, Bldg N, # No",,5,0,0,4,0,Monterey,41500,"Salinas, CA",4/16/2007,4/16/2007,8/11/2015,Stock,0,0,FDIC,DIF,San Francisco,SAN FRANCISCO,San Francisco,San Francisco,Western,Western,0,1,www.1stcapitalbank.com,7584,336,7248,200,429,0,60,0,369,5482,3371,603,1508,1995,0,693,1302,0,1302,0,1302,-24,0,726,1302
57657,0,3247598,3602236,"1st Century Bank,  National Association",Los Angeles,CA,90067,6/30/2015,8/16/2015,N,"1875 Century Park East, # 14","1ST CENTURY BANCSHARES, INC.",1,0,0,4,0,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",3/1/2004,3/1/2004,3/31/2006,Stock,0,0,OCC,DIF,San Francisco,SAN FRANCISCO,Los Angeles (West),San Francisco,Western,Western,0,1,www.1cbank.com,11085,332,10753,725,263,0,218,10,35,8876,5094,1079,2703,1415,75,645,845,0,845,0,845,1,0,644,797
